data,prob,index
hi im so glad everything is going well with the kids what is jay going to study i am worried about dani driving too just dont tell me theres no need for both of us to worry just kidding when do they start back to school some kids in houston started this week already i so enjoy the summer when the traffic is lighter i have started getting to work earlier between so that helps some dick told me his brothers charles russell and families are planning to come to houston for christmas i started sweating immediately what will we do with all these teenagers andrew love you take care of yourself,0.9811142086982727,1306
hi are we still on for dinner,0.9785836338996887,1367
dinner hi terri sorry i missed your call i would love to get togerther this week sometime any night will work for me just let me know thanks,0.9906383752822876,1437
daily desk meeting pm please note the daily central desk meeting which starts pm will take place today only in team room located on the th floor starting tomorrow this meeting will take place in team room located on the floor thank you irena hogan sr administrative assistant enron americas,0.8906051516532898,9108
cargill where are we at with them,0.7996412515640259,14107
im worried are you ok just checking in i know you are swamped but i am worried are you ok anything i can do,0.9550169110298157,19510
originators meeting louise i presume that this note was for thurs a m is it still scheduled bt originators meeting we recognize that we are experiencing a difficult time at enron now and you are all interfacing with our customers every day we are therefore holding a short meeting at am tomorrow morning to answer questions from you and your groups tammie to advise on the room please invite all of your groups louise,0.9999874830245972,19965
golf sat guys as discussed i am going to be tight on time tommorrow as such i am going to take my own car up and would suggest you two carpool together i am leaving houston at am and need to be back by thanks bt,0.9966909885406494,19981
we will not be going out with tychs group i think we had discussed this but as a result of security issues accessing the building we will defer until next week our plans thanks bt we will not be going out with tychs group ina could not get us into the new building tomorrow so we will not get together after work we will plan on going out as a group after we move over mike,0.9807527661323547,20042
another weed i think malowney asks these guys to write these things ps rawson had nothing to do with arranging my visit i set up myself dave fuller visit john i was informed by ron whitehead that les rawson has arranged for dave fuller to visit us on to discuss natural gas opportunities i mentioned that we would be interested in this topic during my visit as you know we attach significant value to having you as our one point of contact with enron and we want to continue to work through you on any new activities given this i am hoping that you will be available to attend this meeting or that we can reschedule it so that you can be available please let me know if this is possible alan meyer corporate energy manager willamette industries inc voice fax e mail ameyer wii com mailto ameyer wii com,0.8588593602180481,20210
squash sorry i didnt get back to you we were on the go all weekend two engagement parties for susans brother and my th birthday on top of that im available after work anytime this week besides tonight ps my parents got me the same racket as you got for christmas it should be ready for domination this weekend,0.8527119755744934,20960
another man show boy ill send the beer boy but i dont have your home email,0.9723445773124695,20983
admission visit ben we are still working with the schedule and do not know for sure right now it will be a nd year student who is part of the texas admissions committee meg admission visit thanks for the fast reply i changed it online but i wanted to make sure i wasnt booked for two different times also are you able to tell me who i will be meeting with i am meeting with a couple professors before my admissions visit and just wanted to know who i was going to meet with from your office thanks ben,0.9999682903289795,21306
