data,index,count,bow,tfidf,lstm,gru
calpine letter response to please review and give me your comments,59192,4,1,1,1,1
futures and options topics dutch quigley team here are my comments on futures very minor comments,107123,4,1,1,1,1
revised pge ca stephanie attached is a redline with my comments,124733,4,1,1,1,1
filing form keith my changes are redlined please provide any comments,125180,4,1,1,1,1
where are you woman call me,179534,4,1,1,1,1
dinner tonite birthday boy,184873,4,1,1,1,1
golf sat guys as discussed i am going to be tight on time tommorrow as such i am going to take my own car up and would suggest you two carpool together i am leaving houston at am and need to be back by thanks bt,19981,3,1,1,1,0
another man show boy ill send the beer boy but i dont have your home email,20983,3,1,1,1,0
hey whats going on i am heading to dc this weekend with verrechio introducing him to a friend of the girl i am dating should i kiss my relationship goodbye now or wait for verrechio to do that for me gioffre get your private free email at http www hotmail com,21461,3,1,1,1,0
proposition we should grab some sushi and talk call me at work chris,39655,3,1,1,1,0
revised tco secondary point priority allocation columbia gas transmission corporation notice to all interested parties november notice id no response required subject secondary point priority allocation following is the current secondary point priority allocation methodology please contact your customer services represesentative or account manager with any questions operating area market area market areas market area market areas operating area market area market areas operating area market areas none operating area market area market areas market area market areas market area market areas market area market areas market area market areas market area market areas operating area market area market areas market area market area operating area market areas none operating area market areas none operating area market area market areas market area market areas market area market area market area market area market areas market area market area none operating area market area market areas market area market areas market area market areas the points available on a secondary priority basis are subject to change due to system operations or flexibility considerations,47681,3,1,1,1,0
jake tech gif pm jpg pm jpg pm exe,69695,3,1,1,1,0
jake tech gif pm jpg pm jpg pm exe,71202,3,1,1,1,0
jake tech gif pm jpg pm jpg pm exe,71372,3,1,1,1,0
phone numbers jeremy my pager number is my home phone is please call me when the migration is finished,120004,3,1,1,1,0
revised schedules shonnie attached are my comments per our discussion,124621,3,1,1,1,0
comments to guaranty attached are my comments to the guaranty form for torch energy advisors incorporated you forwarded for bridgeline gas marketing llc please review you can contact me at with any questions thanks,124691,3,1,1,1,0
oneok guaranty rudwell attached are my comments to oneoks form of guaranty,124772,3,1,1,1,0
revised schedules shonnie attached are my comments per our discussion,128462,3,1,1,1,0
flights i am booked currently on the following flights to no leaving houston flight at pm leaving new orleans flight at pm,129436,3,1,0,1,1
kristi called me last night tell her that i will buy her all the beer she wants if she goes to cozumel with us just two conditions craig stays home and she rooms with me,129570,3,1,0,1,1
comments needed shelly smith your comments are needed for shelly smith who sat in for pat radford please return as soon as possible thank you becky excellent above average average below average poor initiative cooperation punctuality attendance quality of work would you request this person again y n comments,134253,3,1,1,0,1
fridays visit i will be in the office all week let me know when you guys would like to stop by hunter,141730,3,1,1,1,0
ok so i didnt really think youd be at the office at pm when i left you a message last night buy my day turned into a freak show later jeff,158961,3,1,1,1,0
fyi when are comments due,167376,3,1,1,1,0
status of comments re gov davis dan marty we got together kingerski dasovich black curry smith and discussed the ees presentation jeff indicated that he is incorporating many inputs from many different places but the presentation agrees with what he has in his most recent draft jeff dasovich is going to cc the final draft at pm pst today for more comments with are target of sending on to governor at pm this evening if you have any further comments send them to me and i will incorporate them in comments to jeff scott,171106,3,1,1,0,1
night of men men wanting to man off needing to man off are we still planning on being with men on thursday only men need to respond piggy,176614,3,1,1,1,0
man night final plans men the final descision on the night of men will be as follows where tonys mexican bring your own clown and accessories please when thursday at pm we will wait until zander is able to attend to try the tampico place would rather go w someone who knows the drill i am very much looking forward to seeing all of you men pig n a stinky blanket,176618,3,1,1,1,0
man night men hunting season is over it is now working season all email threads are gone no one talks to one another this is wrong i therefor propose man night february th at some location yet to be determined such as tonys mexican food on ella e chat with friends online try msn messenger http messenger msn com,176984,3,1,1,1,0
dating someone new you make me so jealous dating someone new heres a pic of my new boyfriend what do you think of him my guy jpg file my guy jpg,186812,3,1,1,1,0
does my boy marc findsen have a chance,187082,3,1,1,1,0
move expenses see attachment jackie boy moveexpense doc,188603,3,1,1,1,0
come on you are always sexy sorry not feeling too sexy right now what is going on send me an exciting sexy email to wake me up,190761,3,1,1,1,0
golf sat guys as discussed i am going to be tight on time tommorrow as such i am going to take my own car up and would suggest you two carpool together i am leaving houston at am and need to be back by thanks bt,202518,3,1,1,1,0
you go girl,119813,3,0,1,1,1
man night final plans yes according to chets co worker man night final plans is thursday night man night for those kinds of men too man night final plans so your proposing we are going to the stabbing cabin go to tampico man night final plans men the final descision on the night of men will be as follows where tonys mexican bring your own clown and accessories please when thursday at pm we will wait until zander is able to attend to try the tampico place would rather go w someone who knows the drill i am very much looking forward to seeing all of you men pig n a stinky blanket boilerplate disclaimer boilerplate disclaimer this e mail is the property of enron corp and or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient s any review use distribution or disclosure by others is strictly prohibited if you are not the intended recipient or authorized to receive for the recipient please contact the sender or reply to enron corp at enron messaging administration enron com and delete all copies of the message this e mail and any attachments hereto are not intended to be an offer or an acceptance and do not create or evidence a binding and enforceable contract between enron corp or any of its affiliates and the intended recipient or any other party and may not be relied on by anyone as the basis of a contract by estoppel or otherwise thank you boilerplate disclaimer,177434,3,0,1,1,1
i dont know why but at first it felt a little awkward yesterday when we were going into my house it felt as though i was sneaking a boy into my room i hope i didnt make you feel uncomfortable i was so happy that you came by and that i was able to see you and hold you comfortably at last i guess i didnt really know how to react b c my roommates were home dont get me wrong they are really awesome people they dont care who comes over i think it has been quite a while since i brought male company over though they probably would have been excited for me i think it was just me who was feeling strange i am really really close to my cousin shelly but i dont really want her to know what is going on between us i guess i still feel somewhat awkward with you being married and all and then being at my house and with things progressing as they are between us i just feel strange like this feels right but it is not right i really enjoy being with you but i guess id be much more at ease if you were not attached i am sorry to mention this all over again i know it is the last thing you need to hear on a monday morning i dont know what your plans are and you probably dont know what your plans for the future are as your marriage is concerned and you dont need to answer me i am not asking for an answer or explanation just venting i guess i hope you understand where i am coming from do you ever experience this this odd feeling that i am experiencing i dont know maybe i dont know what i am talking about maybe b c my little friend is visiting i tend to be a little more sensitive than usual i feel so uncomfortable today maybe that is more info than you need to know right now sorry i guess its a female thing well i hope that the rest of your day goes well hey what is going on how did you sleep last nite i didnt sleep well i had weird dreams anyway i had a wonderful time yesterday i hope you did as well you have a very nice room everything a person needs a nice soft bed a tv a closet a computer and a nice soft bed oh did i mention that already i guess that is on my mind have a wonderful day and i will talk to you soon i might need a ride today are you still okay with that i have to call the dealership when they open thank you for offering,190861,3,0,1,1,1
