data,prob,index
checkouts enpower preschedule workspace and path confirmation please note we have two new enpower applications currently in use by the prescheduling group that are also available for real time use a manual has been placed in your inbox describing the process in detail you will be using this in place of lotus notes to confirm and process cut power schedules going forward you must check out with all major marketers and utilities each night this would include but not be limited to aep aesnew energy aquila avista calpine constellation coral duke dynegy el paso merchant exelon meico mirant morgan ncpa reliant pplmontana powerx sempra smud transalta williams and southwest utilities such as pinnacle west srp pnm psco and pacificorp northwest counterparties are checked out by bpa and do not need to be checked again by us this would include scl tcl pspl bpap gcpud eweb ipc mpc snpd wwp these checkouts should be started in he and finished by he note you must open both psw and path confirmation from your local enpower launchpad which can be found under the start menu in programs business applications enpower enpower login following are a few pointers to help you get started all prescheduled power paths will be loaded into path confirmation this application must be opened from local enpower and can be found in the menu that drops down from the hand icon at the left under tools a box will appear asking you to select a default trading desk choose west and click okay supply schedules are shown in gray transmission in yellow and market in blue sort paths by clicking and dragging on the heading youd like to sort by suggestion sort by counterparty while making confirmation calls when all schedules with that counterparty are confirmed highlight each schedule highlight the path youd like to confirm or cut by clicking in the thin box to the very left of the path confirmation screen highlight multiple rows by holding the control button and while selecting multiple rows confirm a path by highlighting and clicking the telephone icon a screen will come up requesting contact information from the appropriate counterparty because this information saves directly to enpower save time runs about a minute cut a path by highlighting and clicking the scissors icon a screen called cut information will come up select the new path cut icon in the upper lefthand corner and supply the relevant information region cut time resupply path enpower numbers turret id etc double click anywhere in a particular row to see a detail of that schedule this screen will show the terms and hours of the deal as well as volume price enpower deal and oati tag number lotus notes is being phased out of operation and we are working with the enpower team in houston to develop a discussion database similar to the one we currently use in notes these new applications will be a part of that so please begin adjusting your nightly schedule checkout and or cuts procedure accordingly i e record cut paths in enpower path confirmation not lotus notes,0.7886540293693542,97
imports for mead craig and bill please note that for wednesday import id enrj ciso is wrong the onpeak needs to be a mw and the offpeak needs to be a mw you will want to change the load zones in sp to make us flat in position manager thanks bert meyers,0.7439829111099243,141
start date hourahead hour start date hourahead hour no ancillary schedules awarded no variances detected log messages parsing file o portland westdesk california scheduling iso final schedules txt general sql error couldnt update currently locked by user admin on machine ecthoubps table energy import export schedule final schedule not found for preferred schedule details trans type final sc id ectstnw mkt type trans date tie point malin rndmtn interchg id enrj ciso engy type firm,0.7041611075401306,1097
start date hourahead hour start date hourahead hour no ancillary schedules awarded no variances detected log messages parsing file o portland westdesk california scheduling iso final schedules txt general sql error couldnt update currently locked by user admin on machine ecthoubps table energy import export schedule final schedule not found for preferred schedule details trans type final sc id ectstnw mkt type trans date tie point malin rndmtn interchg id enrj ciso engy type firm,0.7041611075401306,1098
netcoonline launch plans we are getting ready for the launch of netcoonline and have been preparing new documentation a refreshed site design and cleaned products to reflect our gas and power focus the following timetable could change but the general sequence should apply in any case week of jan upon approval by the new buyer of the pa and eta formats we will contact the master users at our top customers and send them copies of the final pa and eta forms with our new buyers name filled in during this week we will be working hard to get as many of the pas returned as possible once we have an approved pa we can send the customer their new user id which will allow them to start trading on the day we launch netcoonline a splash page will be available within two business days of knowing our new company name on a web page reached via an automatic redirect from www enrononline com this page will tell customers about the pending launch of netcoonline and provide links to the pa and registration screens and also to the user admin screens which will allow customer master users to start setting up their sub users the splash page will look something like the following a press release will be issued which will include the planned launch date of netcoonline week of jan if all goes well netcoonline will be launched on tuesday january with at least financial products timing for gas physical and power physical to be determined according to regulatory issues we will send out a mass mailing to approx individuals at companies inviting them to sign up for netcoonline included in the package will be a simple brochure copies of the pa and eta key messages and a list of frequently asked questions general terms and conditions gtcs will be available online and must be accepted online before a company can start to trade a particular commodity trading origination coordination certain individuals in the trading and origination groups will be contacting customers on our top list to introduce the new company and begin the process of getting signed pas the netcoonline marketing team will work with trading and origination groups to make sure that all master users that previously had enrononline north american gas and power execution rights are contacted within one week of the pa and eta being approved by the new buyer netcoonline marketing will follow up with the master users to make sure pas are signed and returned netcoonline marketing contacts for marketingspecific questions please use the following contacts for other questions please contact bob shults or dave forster teresa mandola power kara boudreau gas jennifer mcquade power dan diamond gas definitions password application pa only document where a physical signature is required by an authorized person master user electronic trading agreement eta must be accepted online by the master user before they can proceed into netcoonline master user typically the company authorized signatory that signed the password application establishes transaction rights for each trader subusers subuser trader assigned either execute or read only status general terms conditions gtc document that governs online trades unless a master agreement is in place master agreement document that governs online and offline trades and supersedes the gtc embedded paintbrush picture,0.9992300271987915,1208
price discrepancies altrade elizabeth sorry it took me so long to respond to you use the prices altrade is indicating i probably just wrote them down incorrectly i have found in past experiences with discrepencies that altrade is usually correct and this is not a large amount in question thank you,0.7020601034164429,1285
christmas gifts to all if you would like to contribute towards a gift for scott neal and or kimberly brown please drop your contribution by my desk would like to collect for each but any amount would be appreciated i will take a check and would like to receive by tuesday thanks in advance,0.7473487257957458,1380
dinner hi terri sorry i missed your call i would love to get togerther this week sometime any night will work for me just let me know thanks,0.7533923387527466,1437
lexisnexis training houston worldwide dow jones training esource presents lexisnexis training basic lexisnexis basic is geared to the novice or prospective user you will learn the basics of getting around nexis com we will talk about news and company information available on lexisnexis attend our lexisnexis basics clinic november pm eb due diligence this session will focus on the specific company public records and other sources available on lexisnexis that help you find all possible aspects of a companys business and strengths or liabilities attend our lexisnexis due diligence clinic november pm eb seats fill up fast to reserve a seat please call stephanie e taylor at the cost is per person noshows will be charged please bring your lexisnexis login id and password if you dont have one a guest id will be provided esource presents free lexisnexis online training using placeware an interactive web learning tool you can participate in this training session from anywhere in the world basics lexisnexis basic is geared to the novice or prospective user you will learn the basics of getting around nexis com and of the news and company information available on lexisnexis attend our lexisnexis basics online clinic november am central standard time please rsvp to stephanie e taylor at or stephanie e taylor enron com we will email instructions for placeware to you note if the time scheduled is not convenient to your time zone please let us know so we can schedule other sessions esource presents dow jones interactive training introduction to dow jones interactive personalizing customizing dji and custom clips you will learn how to tailor dji to display information that is most helpful to you you will learn how to create your own personal news page to view headlines from your chosen publications and your custom clip folders custom clips can be set up to automatically send to you important news about any key topic or company information that affects your business decisions attend one of our dow jones interactive basics clinics november pm eb november pm eb advanced learn how to be more efficient on dow jones interactive put some power tools to work for you learn how to employ codes use search history and customize hands on time is provided attend our dow jones interactive advanced clinic november pm eb seats fill up fast to reserve a seat please call stephanie e taylor at the cost is per person noshows will be charged check the esource training page at http esource enron com training htm for additional training sessions and vendor presentations,0.9874081611633301,1670
riddle i received your riddle from amy yueh and my answer is nothing let me know if i am right andy,0.7016472220420837,1674
happy birthday vicky sounds like theyve been working you to hard you certainly deserve a vacation i would like to hear about your adventures overseas my address is as follows andy lewis timmons ln apt houston tx i got a letter from diem with their new london address i figure ill give them a month or so to move in before i look into visiting of course getting time off in this job is easier said than done anyway enjoy your trip and i look forward to hearing from you andy,0.8385908603668213,1675
